,review,label,count,review_nostop,nostop_count
0,so there is no way for me to plug it in here in the us unless i go by a converter,0,21,way plug us unless go converter,6
1,good case excellent value,1,4,good case excellent value,4
2,great for the jawbone,1,4,great jawbone,2
3,tied to charger for conversations lasting more than  minutesmajor problems,0,10,tied charger conversations lasting minutesmajor problems,6
4,the mic is great,1,4,mic great,2
5,i have to jiggle the plug to get it to line up right to get decent volume,0,17,jiggle plug get line right get decent volume,8
6,if you have several dozen or several hundred contacts then imagine the fun of sending each of them one by one,0,21,several dozen several hundred contacts imagine fun sending one one,10
7,if you are razr owneryou must have this,1,8,razr owneryou must,3
8,needless to say i wasted my money,0,7,needless say wasted money,4
9,what a waste of money and time,0,7,waste money time,3
10,and the sound quality is great,1,6,sound quality great,3
11,he was very impressed when going from the original battery to the extended battery,1,14,impressed going original battery extended battery,6
12,if the two were seperated by a mere  ft i started to notice excessive static and garbled sound from the headset,0,21,two seperated mere ft started notice excessive static garbled sound headset,11
13,very good quality though,1,4,good quality though,3
14,the design is very odd as the ear clip is not very comfortable at all,0,15,design odd ear clip comfortable,5
15,highly recommend for any one who has a blue tooth phone,1,11,highly recommend one blue tooth phone,6
16,i advise everyone do not be fooled,0,7,advise everyone fooled,3
17,so far so good,1,4,far good,2
18,works great,1,2,works great,2
19,it clicks into place in a way that makes you wonder how long that mechanism would last,0,17,clicks place way makes wonder long mechanism would last,9
20,i went on motorolas website and followed all directions but could not get it to pair again,0,17,went motorolas website followed directions could get pair,8
21,i bought this to use with my kindle fire and absolutely loved it,1,13,bought use kindle fire absolutely loved,6
22,the commercials are the most misleading,0,6,commercials misleading,2
23,i have yet to run this new battery below two bars and thats three days without charging,1,17,yet run new battery two bars thats three days without charging,11
24,i bought it for my mother and she had a problem with the battery,0,14,bought mother problem battery,4
25,great pocket pc  phone combination,1,5,great pocket pc phone combination,5
26,ive owned this phone for  months now and can say that its the best mobile phone ive had,1,18,ive owned phone months say best mobile phone ive,9
27,i didnt think that the instructions provided were helpful to me,0,11,didnt think instructions provided helpful,5
28,people couldnt hear me talk and i had to pull out the earphone and talk on the phone,0,18,people couldnt hear talk pull earphone talk phone,8
29,doesnt hold charge,0,3,doesnt hold charge,3
30,this is a simple little phone to use but the breakage is unacceptible,0,13,simple little phone use breakage unacceptible,6
31,this product is ideal for people like me whose ears are very sensitive,1,13,product ideal people like whose ears sensitive,7
32,it is unusable in a moving car at freeway speed,0,10,unusable moving car freeway speed,5
33,i have two more years left in this contract and i hate this phone,0,14,two years left contract hate phone,6
34,car charger as well as ac charger are included to make sure you never run out of juicehighy recommended,1,19,car charger well ac charger included make sure never run juicehighy recommended,12
35,you need at least  mins to get to your phone book from the time you first turn on the phonebattery life is short,0,23,need least mins get phone book time first turn phonebattery life short,12
36,it has kept up very well,1,6,kept well,2
37,poor talk time performance,0,4,poor talk time performance,4
38,the case is great and works fine with the ,1,9,case great works fine,4
39,worthless product,0,2,worthless product,2
40,it has a great camera thats mp and the pics are nice and clear with great picture quality,1,18,great camera thats mp pics nice clear great picture quality,10
41,i was not impressed by this product,0,7,impressed product,2
42,nice headset priced right,1,4,nice headset priced right,4
43,i only hear garbage for audio,0,6,hear garbage audio,3
44,excellent bluetooth headset,1,3,excellent bluetooth headset,3
45,it has all the features i want,1,7,features want,2
46,who in their right mind is gonna buy this battery,0,10,right mind gonna buy battery,5
47,after arguing with verizon regarding the dropped calls we returned the phones after two days,0,15,arguing verizon regarding dropped calls returned phones two days,9
48,this case seems well made,1,5,case seems well made,4
49,disappointed with battery,0,3,disappointed battery,2
50,not loud enough and doesnt turn on like it should,0,10,loud enough doesnt turn like,5
51,good protection and does not make phone too bulky,1,9,good protection make phone bulky,5
52,a usable keyboard actually turns a pda into a realworld useful machine instead of just a neat gadget,1,18,usable keyboard actually turns pda realworld useful machine instead neat gadget,11
53,this phone is pretty sturdy and ive never had any large problems with it,1,14,phone pretty sturdy ive never large problems,7
54,i love this thing,1,4,love thing,2
55,everything about it is fine and reasonable for the price ie,1,11,everything fine reasonable price ie,5
56,very disappointed,0,2,disappointed,1
57,i even dropped this phone into a stream and it was submerged for  seconds and it still works great,1,19,even dropped phone stream submerged seconds still works great,9
58,i have been very happy with the  and have had no complaints from any one regarding my sound quality on their end,1,22,happy complaints one regarding sound quality end,7
59,the buttons for on and off are bad,0,8,buttons bad,2
60,essentially you can forget microsofts tech support,0,7,essentially forget microsofts tech support,5
61,i really recommend this faceplates since it looks very nice elegant and cool,1,13,really recommend faceplates since looks nice elegant cool,8
62,these headphones were a great find  and i think they are perhaps the best purchase ive made in the last several years  seriously,1,23,headphones great find think perhaps best purchase ive made last several years seriously,13
63,buy a different phone  but not this,0,7,buy different phone,3
64,you have to hold the phone at a particular angle for the other party to hear you clearly,0,18,hold phone particular angle party hear clearly,7
65,the one big drawback of the mp player is that the buttons on the phones front cover that let you pause and skip songs lock out after a few seconds,0,30,one big drawback mp player buttons phones front cover let pause skip songs lock seconds,15
66,a week later after i activated it it suddenly died,0,10,week later activated suddenly died,5
67,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,1,18,feels comfortable headsets wear glasses gets way sometimes,8
68,great for ipods too,1,4,great ipods,2
69,this device is great in several situations,1,7,device great several situations,4
70,mic doesnt work,0,3,mic doesnt work,3
71,even in my bmw  series which is fairly quiet i have trouble hearing what the other person is saying,0,19,even bmw series fairly quiet trouble hearing person saying,9
72,great choice,1,2,great choice,2
73,nice docking station for home or work,1,7,nice docking station home work,5
74,this is a beautiful phone,1,5,beautiful phone,2
75,love this product,1,3,love product,2
76,do not buy for dwrongly advertised for d,0,8,buy dwrongly advertised,3
77,this is a great little item,1,6,great little item,3
78,i love this phone  it is very handy and has a lot of features ,1,14,love phone handy lot features,5
79,i purchased this and within  days it was no longer working,0,11,purchased within days longer working,5
80,i wear it everyday and it holds up very well,1,10,wear everyday holds well,4
81,not a good bargain,0,4,good bargain,2
82,well packaged arrived on time and works as intended,1,9,well packaged arrived time works intended,6
83,the battery runs down quickly,0,5,battery runs quickly,3
84,this item worked great but it broke after  months of use,0,11,item worked great broke months use,6
85,the headsets are easy to use and everyone loves them,1,10,headsets easy use everyone loves,5
86,this phone works great,1,4,phone works great,3
87,the construction of the headsets is poor,0,7,construction headsets poor,3
88,product was excellent and works better than the verizon one and boy was it cheaper,1,15,product excellent works better verizon one boy cheaper,8
89,the phone loads super,1,4,phone loads super,3
90,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,0,26,product costs much one expect work far better greater ease thing,11
91,made very sturdy,1,3,made sturdy,2
92,worked great,1,2,worked great,2
93,the ear buds only play music in one ear,0,9,ear buds play music one ear,6
94,dont waste your money,0,4,dont waste money,3
95,will order from them again,1,5,order,1
96,if you plan to use this in a car forget about it,0,12,plan use car forget,4
97,i found this product to be waaay too big,0,9,found product waaay big,4
98,best ive found so far  ive tried  other bluetooths and this one has the best quality for both me and the listener as well as ease of using,1,28,best ive found far ive tried bluetooths one best quality listener well ease using,14
99,im very disappointed with my decision,0,6,im disappointed decision,3
100,integrated seamlessly with the motorola razr phone,1,7,integrated seamlessly motorola razr phone,5
101,buyer beware you could flush money right down the toilet,0,10,buyer beware could flush money right toilet,7
102,definitely a bargain,1,3,definitely bargain,2
103,the price was very good and with the free shipping and all it was a good purchase,1,17,price good free shipping good purchase,6
104,i received my supposedly new motorola  and apparently there was not a match between the phone and the charger,0,19,received supposedly new motorola apparently match phone charger,8
105,prosgood camera  very nice pictures  also has cool styles like black and white and more,1,15,prosgood camera nice pictures also cool styles like black white,10
106,thats a huge design flaw unless im not using it correctly which i dont think is the case,0,18,thats huge design flaw unless im using correctly dont think case,11
107,i love my  headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,1,23,love headset jabra bluetooth headset great reception good ear piece comfortable fit,12
108,the camera although rated at an impressive  megapixels renders images that fall well below expectations of such a relatively high resolution,0,21,camera although rated impressive megapixels renders images fall well expectations relatively high resolution,13
109,i purcashed this for the car charger and it does not work,0,12,purcashed car charger work,4
110,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me ,1,24,sound quality end excellent use headset call wife ask wife use headset call,13
111,this phone is slim and light and the display is beautiful,1,11,phone slim light display beautiful,5
112,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,1,28,little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,16
113,great product fast shipping,1,4,great product fast shipping,4
114,absolutely great,1,2,absolutely great,2
115,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,1,17,keyboard nice compromise full qwerty basic cell phone number keypad,10
116,i got this phone around the end of may and im completely unhappy with it,0,15,got phone around end may im completely unhappy,8
117,it is very comfortable on the ear,1,7,comfortable ear,2
118,it has been a winner for us,1,7,winner us,2
119,setup couldnt have been simpler,1,5,setup couldnt simpler,3
120,ive tried several different earpieces for my cell phone and this jabra one is the first one ive found that fits my ear comfortably,1,24,ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,16
121,could not get strong enough signal,0,6,could get strong enough signal,5
122,iam very pleased with my purchase,1,6,iam pleased purchase,3
123,bad quality,0,2,bad quality,2
124,gets the job done,1,4,gets job done,3
125,great audio,1,2,great audio,2
126,basically the service was very bad,0,6,basically service bad,3
127,it did not work in my cell phone plug i am very up set with the charger,0,17,work cell phone plug set charger,6
128,ive only had my bluetooth for a few weeks but i really like it,1,14,ive bluetooth weeks really like,5
129,the bt headset was such a disapoinment,0,7,bt headset disapoinment,3
130,it is so small and you dont even realize that it is there after a while of getting used to it,1,21,small dont even realize getting used,6
131,the accompanied software is almost brilliant,1,6,accompanied software almost brilliant,4
132,headset works great  was packaged nicely to avoid any damage,1,10,headset works great packaged nicely avoid damage,7
133,i definitly recommend,1,3,definitly recommend,2
134,buyerbe very careful,0,3,buyerbe careful,2
135,the majority of the logitech earbud headsets failed,0,8,majority logitech earbud headsets failed,5
136,very good stuff for the price,1,6,good stuff price,3
137,my headset works just peachykeen,1,5,headset works peachykeen,3
138,in my house i was getting dropped coverage upstairs and no coverage in my basement,0,15,house getting dropped coverage upstairs coverage basement,7
139,voice recognition is tremendous,1,4,voice recognition tremendous,3
140,what a waste,0,3,waste,1
141,during several different  minute calls i experienced  drops and it was in an area that had  bars,0,17,several different minute calls experienced drops area bars,8
142,i was not happy with this item,0,7,happy item,2
143,very disappointed,0,2,disappointed,1
144,the phone takes forever to charge like  to  hours literally,0,10,phone takes forever charge like hours literally,7
145,i got this phone on reccomendation from a relative and im glad i did,1,14,got phone reccomendation relative im glad,6
146,what a waste of time,0,5,waste time,2
147,its reception is very very poor,0,6,reception poor,2
148,items stated as included from the description are not included,0,10,items stated included description included,5
149,after  months screen just went black all of a sudden,0,10,months screen went black sudden,5
150,i was hoping for more,0,5,hoping,1
151,audio quality is poor very poor,0,6,audio quality poor poor,4
152,i had absolutely no problem with this headset linking to my  blackberry curve,1,13,absolutely problem headset linking blackberry curve,6
153,i know that sounds funny but to me it seemed like sketchy technology that wouldnt work wellwell this one works great,1,21,know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,13
154,ive bought  wired headphones that sound better than these,0,9,ive bought wired headphones sound better,6
155,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,1,23,phone fast sending kind messages web browsing significantly faster previous phones used,12
156,nice quality build unlike some cheap s out there,1,9,nice quality build unlike cheap,5
157,this item is fantastic and works perfectly,1,7,item fantastic works perfectly,4
158,and i just love the colors,1,6,love colors,2
159,wi is just superb,1,4,wi superb,2
160,all i can do is whine on the internet so here it goesthe more i use the thing the less i like it,0,23,whine internet goesthe use thing less like,7
161,great charger,1,2,great charger,2
162,this is essentially a communications tool that does not communicate,0,10,essentially communications tool communicate,4
163,works like a charm it work the same as the one i got with the phone,1,16,works like charm work one got phone,7
164,i still maintain that monkeys shouldnt make headphones we just obviously dont share enough dna to copy the design over to humans,0,22,still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,14
165,great value,1,2,great value,2
166,doesnt work at all i bougth it for my lc and its not working,0,14,doesnt work bougth lc working,5
167,the look of it is very sharp and the screen is nice and clear with great graphics,1,17,look sharp screen nice clear great graphics,7
168,doesnt last long,0,3,doesnt last long,3
169,one thing i hate is the mode set button at the side,0,12,one thing hate mode set button side,7
170,excellent service,1,2,excellent service,2
171,thank you for wasting my money,0,6,thank wasting money,3
172,how can that bethe audio quality is poor,0,8,bethe audio quality poor,4
173,the igo chargers and tips are really great,1,8,igo chargers tips really great,5
174,the file browser offers all the options that one needshandsfree is great,1,12,file browser offers options one needshandsfree great,7
175,superb phone on a great network,1,6,superb phone great network,4
176,i connected my wifes bluetoothmotorola hs to my phone and it worked like a charm whether the phone was in my pocket or the case,1,25,connected wifes bluetoothmotorola hs phone worked like charm whether phone pocket case,12
177,i put the latest os on it vg and it now likes to slow to a crawl and lock up every once in a while,0,25,put latest os vg likes slow crawl lock every,9
178,it only recognizes the phone as its storage device,0,9,recognizes phone storage device,4
179,if you like a loud buzzing to override all your conversations then this phone is for you,0,17,like loud buzzing override conversations phone,6
180,dont buy this product,0,4,dont buy product,3
181,ive had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,0,21,ive bluetoooth headset time still comfortable way fits ear,9
182,the sound quality is good and functionality is awesome,1,9,sound quality good functionality awesome,5
183,i have this phone and it is a thorn in my side i really abhor it,0,16,phone thorn side really abhor,5
184,i recently had problems where i could not stay connected for more than  minutes before being disconnected,0,17,recently problems could stay connected minutes disconnected,7
185,incredible,1,1,incredible,1
186,design flaw,0,2,design flaw,2
187,great phone,1,2,great phone,2
188,waste of  bucks,0,3,waste bucks,2
189,but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then im lost,0,24,check voice mail night keypad backlight turns seconds first message im lost,12
190,the replacement died in a few weeks,0,7,replacement died weeks,3
191,any ring toneoverall good phone to buy,1,7,ring toneoverall good phone buy,5
192,lately they have been extremely nice and helpful on the phone,1,11,lately extremely nice helpful phone,5
193,i have had problems wit hit dropping signal and more,0,10,problems wit hit dropping signal,5
194,not impressed,0,2,impressed,1
195,light weight i hardly notice it is there,1,8,light weight hardly notice,4
196,youll love how thin it is,1,6,youll love thin,3
197,bad choice,0,2,bad choice,2
198,the pleather case doesnt fit,0,5,pleather case doesnt fit,4
199,useless phone simply deaf,0,4,useless phone simply deaf,4
200,the color is even prettier than i thought it would be and the graphics are incredibly sharp,1,17,color even prettier thought would graphics incredibly sharp,8
201,all in all i think it was a good investment,1,10,think good investment,3
202,it makes very strange ticking noises before it ends the call,0,11,makes strange ticking noises ends call,6
203,the best electronics of the available fm transmitters,1,8,best electronics available fm transmitters,5
204,battery lasts only a few hours,0,6,battery lasts hours,3
205,great headset very impressed  h,1,5,great headset impressed h,4
206,the  mega pixel camera being a part of a phone is reasonably good,1,13,mega pixel camera part phone reasonably good,7
207,ive had this for nearly  years and it has worked great for me,1,13,ive nearly years worked great,5
208,good transmit audio,1,3,good transmit audio,3
209,we are sending it back,0,5,sending back,2
210,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,0,26,bother contacting company dollar product learned lesson bought form online anyway,11
211,if you hate earbugs avoid this phone by all means,0,10,hate earbugs avoid phone means,5
212,great price also,1,3,great price also,3
213,the range is very decent ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,1,25,range decent ive able roam around house phone living room receptionsound quality issues,13
214,fast service,1,2,fast service,2
215,i would highly recommend this,1,5,would highly recommend,3
216,i would recommend this,1,4,would recommend,2
217,i also didnt like the on button it felt like it would crack with use,0,15,also didnt like button felt like would crack use,9
218,worst phone ever,0,3,worst phone ever,3
219,im still infatuated with this phone,1,6,im still infatuated phone,4
220,freezes frequently,0,2,freezes frequently,2
221,its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,0,20,kind embarrassing use looks mostly embarrassing childlike company,8
222,simple lightweight and great fit,1,5,simple lightweight great fit,4
223,all in all id expected a better consumer experience from motorola,0,11,id expected better consumer experience motorola,6
224,theres a horrible tick sound in the background on all my calls that i have never experienced before,0,18,theres horrible tick sound background calls never experienced,8
225,these are certainly very comfortable and functionality is decent,1,9,certainly comfortable functionality decent,4
226,i usually dont like headbands but this one is very lightweight  doesnt mess up my hair,1,16,usually dont like headbands one lightweight doesnt mess hair,9
227,im a bit disappointed,0,4,im bit disappointed,3
228,i have had this phone for over a year now and i will tell you its not that great,0,19,phone year tell great,4
229,i ordered this for sony ericsson wi but i think it only worked once thats when i first used it,0,20,ordered sony ericsson wi think worked thats first used,9
230,the battery is completely useless to me,0,7,battery completely useless,3
231,what a big waste of time,0,6,big waste time,3
232,dont waste your  on this one,0,6,dont waste one,3
233,great sound and service,1,4,great sound service,3
234,really pleased with this product so far,1,7,really pleased product far,4
235,one of my favorite purchases ever,1,6,one favorite purchases ever,4
236,best bluetooth on the market,1,5,best bluetooth market,3
237,authentic leather with nice shine and comfort i recommend you this case ,1,12,authentic leather nice shine comfort recommend case,7
238,i was very excited to get this headset because i thought it was really cute,1,15,excited get headset thought really cute,6
239,do not make the same mistake as me,0,8,make mistake,2
240,big disappointment with calendar sync,0,5,big disappointment calendar sync,4
